id,landcover,datetime
233,"[""Non-irrigated arable land"", ""Broad-leaved forest"", ""Transitional woodland/shrub"", ""Water bodies""]",2017-10-02T11:21:11+0000
234,"[""Non-irrigated arable land"", ""Transitional woodland/shrub"", ""Inland marshes"", ""Water bodies""]",2017-10-02T09:40:31+0000
235,"[""Non-irrigated arable land"", ""Olive groves"", ""Agro-forestry areas"", ""Transitional woodland/shrub""]",2018-03-26T11:21:09+0000
236,"[""Discontinuous urban fabric"", ""Complex cultivation patterns"", ""Mixed forest""]",2017-07-04T11:21:11+0000
237,"[""Complex cultivation patterns"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-12-21T11:25:01+0000
238,"[""Non-irrigated arable land"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland/shrub""]",2017-08-17T10:10:19+0000
239,"[""Sea and ocean""]",2017-07-20T10:00:31+0000
240,"[""Non-irrigated arable land"", ""Pastures"", ""Land principally occupied by agriculture, with significant areas of natural vegetation""]",2017-08-16T09:50:31+0000
241,"[""Sea and ocean""]",2017-07-17T11:33:21+0000
242,"[""Coniferous forest"", ""Transitional woodland/shrub""]",2017-07-01T09:30:31+0000
243,"[""Non-irrigated arable land"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest""]",2018-05-25T09:40:29+0000
244,"[""Non-irrigated arable land"", ""Pastures""]",2018-04-21T11:43:49+0000
245,"[""Discontinuous urban fabric"", ""Non-irrigated arable land""]",2017-09-27T09:40:19+0000
246,"[""Mineral extraction sites"", ""Non-irrigated arable land"", ""Coniferous forest"", ""Mixed forest""]",2018-05-27T09:30:41+0000
247,"[""Pastures"", ""Broad-leaved forest"", ""Transitional woodland/shrub""]",2017-10-02T11:21:12+0000
248,"[""Mixed forest"", ""Transitional woodland/shrub""]",2017-09-05T09:50:31+0000
249,"[""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Coniferous forest"", ""Mixed forest"", ""Water bodies""]",2017-11-01T09:41:32+0000
250,"[""Non-irrigated arable land"", ""Broad-leaved forest""]",2017-08-31T09:50:29+0000
